2004;1448
2005;1379
2006;1349
2007;1344
2008;1320
2009;1317
2010;1339
2011;1350
2012;1405
2013;1566
2014;1661
2015;1710
2016;1789
2017;1936
2018;2091
2019;2244
2020;2641
2021;2962
2022;3259
2023;3302
2024;3163
